0.012	5	25	16777215	1681378308	1	f47b001d	1294254074413590000 	1分钟！
0.16	5	25	15772458	1681383910	11	18337a0f	1294301068519350000 	官 方 正 版
0.922	5	25	15138834	1681388197	1	7fce0d08	1294337031178160000 	ED还是OP啊？
0.723	5	25	13369971	1681388489	11	1530b9ca	1294339477808290000 	媒体为我无敌的笑容而疯狂
0	1	25	16777215	1681389097	11	8fc462c5	1294344575330400000 	再来亿遍
0.862	1	25	16776960	1681390497	6	905b1a9f	1294356323609170000 	您的好友ikurap已上线（doge）
0.102	1	25	16777215	1681393907	1	650fc2b6	1294384923175870000 	为了不让这个烂尾，各位玩apex碰到赤坂一定要反复处决
0.542	1	25	16777215	1681396273	1	1d629222	1294404770286790000 	kksk
0.985	5	25	13369971	1681399106	1	e912fdcc	1294428540430980000 	K-popに駆ける
0	5	25	15138834	1681401471	1	827ac258	1294448376284420000 	星野爱俘虏，出列！
0.982	1	25	16777215	1681402047	1	d2cd4ef8	1294453213885860000 	ikurap
0.582	1	25	16777215	1681403860	2	ec5804ee	1294468417927350000 	上大当了
0	1	25	16777215	1681404261	8	7ac4c7a0	1294471785819180000 	循环十几遍
0.935	1	25	16777215	1681407317	11	6e8e063e	1294497415390770000 	锤子的赤坂你上辈子是拯救了霓虹吗
0	1	25	16777215	1681444629	8	f7ef5c1e	1294810413556310000 	希望这歌能出个高桥李依的版本
0	5	25	16777215	1681450163	1	d826a7e2	1294856838898100000 	我都忘了Ayase在B站有号wwww
0	1	25	16777215	1681473218	1	b8f98291	1295050234396730000 	这个op就是爱的个人MV
0.111	5	25	15138834	1681478738	11	fa7ac437	1295096537122200000 	堂 堂 复 活！
0.422	5	25	15138834	1681479962	1	ee82f526	1295106811808240000 	能把爱也复活吗
0.062	1	25	16777215	1681480955	1	7b5d3dfe	1295115139137140000 	大家快缓存，大家快缓存，大家快缓存
0.638	5	25	14811775	1681482627	1	abcc6503	1295129162717230000 	保护
0	5	25	16707842	1681484182	1	a246bbc6	1295142204452420000 	没了，全部都没了，只剩这个了，本人已疯
0.442	5	25	15138834	1681485162	1	a246bbc6	1295150430103300000 	所有二创都没了，只剩这个官方的了，好崩溃啊，受不了了
0.463	1	25	16777215	1681487919	1	c5d3ad21	1295173558770990000 	上头
0.315	4	25	16777215	1681490041	1	76d76095	1295191355429020000 	再见了
0.935	5	25	15138834	1681491416	1	f883c00e	1295202890050470000 	因为一些原因错过这部番很可惜！
0.893	1	25	16777215	1681524748	1	81d12a94	1295482501774730000 	無敵の笑顔で荒らすメディア露出无敌笑容来摧毁媒体
0.81	5	25	14811775	1681528316	1	af78b9bc	1295512435129640000 	最  后  一  遍
0.745	1	25	16777215	1681531101	1	2055e54b	1295535797034270000 	唯一正版
0	4	25	41194	1681532318	1	98299fac	1295546003570850000 	这里是蓝色字幕菌，白字好像有点不完善
0.551	4	25	41194	1681532380	1	98299fac	1295546522515460000 	露出无敌笑容来摧毁媒体
0.871	4	25	41194	1681532553	1	98299fac	1295547977519310000 	露出无敌笑容摧毁媒体
0.918	1	25	16777215	1681532635	3	bbd905f3	1295548659051810000 	玛卡巴卡阿卡哇卡米卡玛卡呣
0.825	1	25	16777215	1681540066	1	1df20002	1295610993975770000 	痛失吾爱，举目破败!
0	5	25	16777215	1681542410	1	2b8d7c93	1295630662938050000 	番很好看，质量提高，并且无刀高甜
0.595	4	25	16777215	1681552128	1	3407eccc	1295712180150430000 	用无敌的笑容摧毁所有镜头
0	4	18	16777215	1681556004	1	af692c85	1295744693648430000 	露出无笑容来摧毀媒体
0.644	5	25	14811775	1681564603	1	780da4a3	1295816831902320000 	病名为爱
0.231	5	25	15138834	1681566175	1	fa94421b	1295830016378230000 	我的爱啊！
0.906	1	25	16777215	1681566944	1	a0b9b057	1295836467738130000 	:O
0.974	5	25	14811775	1681570937	1	cc2b960d	1295869962829120000 	星野爱赛高！！！！！！！
0	1	25	16777215	1681575326	5	7dbb4f6c	1295906778777110000 	woc，我要死在这个视频里了......
0.963	1	25	16777215	1681583883	1	cedf4208	1295978559566980000 	再来亿遍
0.905	1	25	13369971	1681609418	1	fc97f606	1296192766958850000 	200w祝贺！！！
0.379	4	25	11890	1681612880	1	f5f62eed	1296221806767730000 	露出无敌笑容来摧毁媒体。
0.656	1	25	16777215	1681615942	1	e18b0b2f	1296247495084720000 	我好喜欢爱酱！！！
0	5	25	16777215	1681616557	1	b6d19968	1296252651671060000 	欢迎回来
0.942	1	25	15138834	1681620555	1	9b02052c	1296286184972030000 	到
0	1	25	16777215	1681620736	1	5ab759cf	1296287703511630000 	再来一遍555
0	5	25	41194	1681623296	1	6a5e6fe0	1296309183750410000 	随时随地两千人再看，不愧是我A
0	5	25	14811775	1681628664	1	e8dbc7f1	1296354210149080000 	再来亿遍！！！
0.862	5	25	14811775	1681634301	1	cc2b960d	1296401493477600000 	妈！！！！！
0.659	1	25	16777215	1681636760	1	6dcfe3b8	1296422128698120000 	省流:和别人生小孩
1.726	1	25	16777215	1681379066	9	d0b3b330	1294260430914900000 	星野爱俘虏出列
1.791	4	25	16777215	1681381073	11	c5d442c4	1294277265064240000 	露出无敌笑容来摧毁媒体
1.859	1	25	16777215	1681390982	1	4516fe89	1294360392478670000 	官方来啦
1.322	1	25	16777215	1681398986	11	164dfee6	1294427535517580000 	花刀香菇眼
